Longitude,Latitude
-59.23,7.67
-59.23,7.67
-60.483,7.367
-60.483,7.367
-60.483,7.367
-59.017,4.75
-58.817,4.33
-58.817,4.33
-58.817,4.33
-58.817,4.33
-57.042,4.478
-56.904,4.529
-56.904,4.529
-57.042,4.478
-57.042,4.478
-58.85,4.67
-58.85,4.73
-58.717,4.633
-58.85,4.73
-60.65,6.05
-58.85,4.73
-58.633,1.65
-58.717,4.633
-58.85,4.67
-58.85,4.73
-58.717,4.633
-58.85,4.67
-58.85,4.73
-58.85,4.73
-58.85,4.73
-58.85,4.73
-60.65,6.05
-58.767,1.367
-60.483,7.367
-60.483,7.367
-58.85,4.333
-58.85,4.333
-59.017,4.75
-58.85,4.367
-59.017,4.75
-59.017,4.75
-59.017,4.75
-59.017,4.75
-59.083,4.533
-59.017,4.75
-59.083,4.533
-59.017,4.75
-59.083,4.533
-59.017,4.75
-59.017,4.75
-59.017,4.75
-58.8,4.333
-59.017,4.75
-59.017,4.75
-59.017,4.75
-59.017,4.75
-59.017,4.75
-59.435,2.279
-59.493,5.166
-59.493,5.166
-59.493,5.166
-59.493,5.166
-59.435,2.279
-59.493,5.166
-59.435,2.279
-59.493,5.166
-59.493,5.166
-59.48,5.18
-59.435,2.279
-59.48,5.18
-59.435,2.279
-59.476,2.486
-58.517,4.283
-58.767,4.45
-58.517,4.283
-58.767,4.45
-58.767,4.45
-58.517,4.283
-58.917,4.383
-58.767,4.45
-58.917,4.383
-59.017,4.75
-59.017,4.75
-59.017,4.75
-58.767,4.45
-58.767,4.45
-58.8,4.333
-58.8,4.333
-59.017,4.75
-59.083,4.533
-59.083,4.533
-59.083,4.533
-59.083,4.533
-58.8,4.333
-59.017,4.75
-59.083,4.533
-59.017,4.75
-58.8,4.333
-59.017,4.75
-58.8,4.333
-59.017,4.75
-59.083,4.533
-59.017,4.75
-59.017,4.75
-58.8,4.333
-58.8,4.333
-59.05,4.1
-60.483,7.367
-60.483,7.367
-59.05,4.1
-59.05,4.1
-59.05,4.1
-59.05,4.1
-59.05,4.1
-60.483,7.367
-59.05,4.1
-59.05,4.1
-59.05,4.1
-59.05,4.1
-59.05,4.1
-58.683,4.667
-56.781,4.853
-56.063,1.944
-56.063,1.944
-56.063,1.944
-56.063,1.944
-56.063,1.944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-56.0921,1.9944
-57.042,4.478
-56.904,4.529
-56.904,4.529
-56.904,4.529
-57.042,4.478
-56.904,4.529
-57.042,4.478
-57.042,4.478
-56.904,4.529
-57.042,4.478
-57.042,4.478
-56.904,4.529
-56.904,4.529
-56.904,4.529
-55.183,4.95
-60.733,5.267
-58.767,1.367
-58.767,1.367
-58.767,1.367
-58.767,1.367
-60.733,5.267
-60.733,5.267
-60.733,5.267
-60.733,5.267
-60.733,5.267
-60.733,5.267
-60.733,5.267
-59.817,5.117
-59.817,5.117
-59.85,5.1
-60.733,5.267
-59.95,5.333
-60.733,5.267
-59.95,5.333
-59.95,5.333
